0	2	这电脑速度真是让我大开眼界，刚用一两天还可以，这一周都不到，速度就慢下来了。真是?
1	2	客户服务不认真，不专业，也没耐心
2	3	到货后，开机都慢的要死了
3	2	吐槽下买个电脑鼠标和扬声器都不送一个
4	2	鼠标垫都没有，我还要再去买个鼠标垫
5	3	性能配置：性能一般，比较慢，还是需要买好点配置的
6	3	这电脑还是有点卡，反应迟钝
7	2	公司买的，感觉运行速度不快，有点卡。
8	2	电脑竟然不带光驱，我光盘怎么播放
9	3	跑分评测：系统用着不方便，里面竟然有个别人做的国庆节阅兵式的PPT
10	3	电脑不带声音不好 ，一定要连接音响的
11	3	性价比低，海力士8G内存偏小，电脑一旦联网不能退货。
12	2	性能还不如自配的i3
13	2	运行起来没有想象中顺畅，可能是系统不好用。
14	3	我去，不能装w 7,才买了
15	3	硬盘都不分盘
16	3	发票，发票呢？
17	3	比较慢
18	3	反应有点慢
19	3	主机声音大
20	3	电脑容易卡住，可能配置低，使用win10系统还是有点艰难
21	2	显示器底座裂条缝，懒得退货麻烦，将就用。派送员态度不好
22	3	用了两个星期就说硬盘出问题了，失望。客后还行，教如何恢复，马上又能用了。但还是不推荐。
23	3	机箱外观：挺小巧，照着详情里面的接口介绍买了个固态硬盘，结果还是错了，这么小的几箱放不下，又买个m2接口固态放进去。 售后服务：打了几个电话，售后妹妹还行，但是，还有改进的余地！ 性能配置：这个屏幕没法用了，正在申请退换货，如果解决了就加两颗星了
24	3	不知道为什么，速度很慢。相应也不快，我六年前买的也是i3竟然比这个用着快。。。呵呵
25	2	很一般，软件还要收费，开个机显示后半天打不开网页啥的，还3000块钱
26	3	主机有声音，换了一台，还是有声音，像水烧开了一样。强迫症请慎重考虑。
27	3	自带的win10系统，想重装win7都不行，也不能自己装固态硬盘，反正就那样吧，并不是很流畅，办公也卡卡的
28	3	刚开始几天运行倒是挺快的，用不到两周，就开始有点卡，打开网页都会很慢，感觉体验感一般
29	2	电脑还可以吧，就是学生用的可以，不知道为什么嗯，是货到付款的，让他刷银行卡，竟然刷不了，还让我跑了好远去给他取的现钱，我也是真服了，京东
30	3	各方面都挺 好的，唯一一个问题，硬盘有咔咔的异响，着急用，也就没有换了，将就用着吧。CPU感觉还是弱了一点，有些卡顿。
31	3	买完十天降价50  机箱很小巧 电脑不玩游戏看看电视 上上网够用 接口不稳当 每个接口都会左右带动主板晃动 设计有缺陷 不知道哪天这些接口会不会从主板脱焊
32	3	机子装的win10系统，反应迟钝，开机时间够长，打算换个xp系统再试试。 主机里边好像是风扇的声音，噪音大。要是在安静的书房，就建议不要买了，低噪有点受不了，要是在集体办公室，倒是可以。 只要要求不高，就凑合用，毕竟两千八百来块钱。 中评。
33	2	电脑反映超慢，感觉一般般
