0	1	买完就降价了，也不给保价，有点失望
1	1	很不好用，要退货
2	1	刚买一个星期就降价
3	1	开机，运行有点慢。
4	1	售后服务：售后差
5	1	售后服务差，遇到问题，打Dell售后电话不能有效解决。电脑待机后无法恢复，需要硬件重启。
6	1	没想到品牌机也会这么差，重装系统就当机
7	1	VGA视频线无法连接，缺个转接头。
8	1	发票一直没有收到。
9	1	性能配置：主机经常咔咔响，感觉好像硬盘运行有问题。
10	1	买了10天就降价，还不给补差价，，，????
11	1	我也是醉了，连，衔接线都配错。。。浪费时间
12	1	感觉家用都不行，有点卡。
13	1	为什么显示器看视频的时候总象下了一层雾一样？
14	1	买了5台电脑，少了一个电源线和键盘，不知道找谁处理
15	1	链接线有问题，直接蓝屏。。。多花了100才弄好
16	1	反馈问题  ，没人搭理。
17	1	我要退货，用了一个月，各种卡。辣鸡要死
18	1	3000块的东西鼠标垫都不配一个，这值个多少钱，现在还得在网上又买一个，不爽?&hellip;&hellip;
19	1	卡的根本动不了，用了大概一周而已啊！
20	1	差差
21	1	差
22	1	一买就降价
23	1	时不时的卡
24	1	鼠标是坏的。
25	1	异响
26	1	又吵又卡！服了！
27	1	主机箱声音太大，想拖**一样，其他都可以
28	1	显示屏插口和主机屁股不一样。说补差价补发一个显示器也不行。
29	1	一买将降价
30	1	价格保护显示退款成功，但是收不到钱。客服推银行，银行推客服，我不要了行不行。
31	1	差
32	1	主机声音大，用了几次开机居然灰色屏幕。 最近忙迟些找人维修吧。
33	1	7.24号买的价格4299元，8.9号又买了两台3799元，没有搞活动。怎么感觉这个价格跟心率一样的呢？
34	1	机箱后面链接屏幕的接口，你弄的个和线不匹配的？？？这是个什么道理
35	1	系统只能安装W10，用不习惯，办公软件也用不了，也没有售后人员上门给弄一下，
36	1	商品开机看了没有能正常运营，其他的暂时还不知道，个人觉得现在的快递一点时间观念都没有，约好的时间不能及时到，浪费我私人时间，可恶！
37	1	开机慢，反应也不快。不值这个价。激活后不能退，不激活怎么知道是不是好的，坑。
38	1	体验度不好 不建议购买 办公软件都不带激活的 要自己买 速度也慢。主机是很小的那种
39	1	用了一个多月左右卡的要死 关机也关不了关键还是办公电脑  连个游戏都没有
40	1	带的Office是试用版的，只有几天。然后就不能用了，如果要用，还得购买Office再激活！
41	1	差得要死，我前面用i3，说慢，换个i5的，还要慢，wodr打开要半天，被老板骂了一整天，能退吗？
42	1	啥破机子，买回来就蓝屏，好不容易开了机以为正常了就关机。隔置大半个月没用。今天小朋友要用又开不了机了。
43	1	用了两周，文本操作都能卡住，半天光标不动。不下n次出现这种情况。 不要说计算机便宜，再便宜的机器这种情况都不应该出现，毕竟不是打游戏做计算分析。 赏你1分是看在京东
44	1	外观还可以，反应有点慢，硬盘灯一闪亮就跟烧炮仗一样噼里啪啦(当然相对小声点)。没有想象中的好
45	1	主机、显示器不是配套的，需要用转接线。转接线是是赠品，只有1米，不支持退还、换货，电脑主机放办公桌下都放不了。
46	1	开机显示器没有显示，用的HDMI的线，客服说要用DP的线，然后说去反馈让我等着，然后就没有然后了。
47	1	我基本不评价 但是电脑用着心态要爆炸 先不说多少钱 价格不低 居然没一个笔记本反应快 再说系统 正常基本的办公都用不了 买完干嘛 放着看着啊
48	1	戴尔不知道是技术问题还是什么原因，开机后磁盘使用率高达100%.持续降不下去，所以影响速度，应该不是我一个人有这个问题，我买了2台，一个笔记本，一个台式都存在这样的问题。我网上搜了下普片反应有这种问题，技术啊，想退货，时间来不及了，只能将就，下次坚决不买戴尔的了。
49	1	客服态度恶劣。主机挺小。但是就一个C盘【一个C盘】。从开机到完成安装，卡的不停的蓝色转啊转啊，怎么也得30分钟。装好后浏览网页还可以。但是从服务商店下载简直慢的下载不了。
50	1	售后服务态度让人很不舒服
51	1	售后太差，我有点欺骗顾客的意思
52	1	京东垃圾，买了东西几天都不送货。
53	1	刚收到货就降价～开机黑屏时间超长！！！！
54	1	昨天买的今天就降价，无语?
55	1	很差，建议不要买
56	1	售后服务太差了
57	1	电脑太垃圾.卡死了
58	1	戴尔太垃圾，越来越垃圾
59	1	垃圾店，垃圾服务，垃圾主机，
60	1	跑分评测：这个系统好难用。厂家也不退换。够买时请认真考虑。
61	1	这次速度太慢，只到了显示器，主机晚了3天
62	1	买后第二天马上掉300块，什么意思，也太坑了吧
63	1	卡的一匹，一句话难用。后悔的要死
64	1	差评，服务态度不行。这次消费很不满意
65	1	售后服务：千万不要购买这款电脑主机。千万不要购买开荒服务。服务非常差。我长期全五星好评的人，这次不得不客观的给差评。
66	1	真的很卡，刚刚买没多久，蓝屏加死机加卡顿
67	1	总是总是无缘无故的蓝屏重启，烦死了不知道什么原因
